Year,Quarter,Q&Y,Num. of Passengers,Avg. Airfare,Avg. Comp. Airfare,GDP,Q1,Q2,Q3,COVID-19 ,Recession,Weather/Natural Disaster,Entry/Exit in Market,Net Income (Fin. Position),Price Alt. Transport (Gasoline)
2006,1,Q1 2006,554,232.6,170,13599.16,1,0,0,0,0,0,3,-108444,2.34
2006,2,Q2 2006,1283,206.67,164.4,13753.424,0,1,0,0,0,0,4,118615,2.84
2006,3,Q3 2006,727,276.86,200.25,13870.188,0,0,1,0,0,0,3,-168282,2.83
2006,4,Q4 2006,677,183,214.8,14039.56,0,0,0,0,0,0,3,-131966,2.26
2007,1,Q1 2007,579,230,216.25,14215.651,1,0,0,0,0,0,3,-100332,2.36
2007,2,Q2 2007,453,250.4,185.67,14402.082,0,1,0,0,0,0,3,83247,3.02
2007,3,Q3 2007,384,153.4,219.89,14564.117,0,0,1,0,0,0,4,-69245,2.85
2007,4,Q4 2007,426,187.71,207.5,14715.058,0,0,0,0,1,0,3,-204180,2.97
2008,1,Q1 2008,430,206.43,271.5,14706.538,1,0,0,0,1,0,3,-339972,3.11
2008,2,Q2 2008,536,210.4,321.43,14865.701,0,1,0,0,1,0,3,-1027770,3.76
2008,3,Q3 2008,566,193.7,94,14898.999,0,0,1,0,1,1,3,-498179,3.85
2008,4,Q4 2008,288,407.86,268,14608.208,0,0,0,0,1,0,3,-42160,2.3
2009,1,Q1 2009,334,337.5,152,14430.901,1,0,0,0,1,0,3,-305674,1.89
2009,2,Q2 2009,361,154.5,231,14381.236,0,1,0,0,1,0,3,-240523,2.32
2009,3,Q3 2009,282,366.75,184,14448.882,0,0,1,0,0,0,3,-317411,2.57
2009,4,Q4 2009,445,264,198,14651.248,0,0,0,0,0,1,3,-303419,2.6
2010,1,Q1 2010,472,318.67,223,14764.611,1,0,0,0,0,1,3,-349238,2.71
2010,2,Q2 2010,319,163,165.5,14980.193,0,1,0,0,0,0,3,42431,8.81
2010,3,Q3 2010,283,366.83,190.5,15141.605,0,0,1,0,0,0,3,80225,2.72
2010,4,Q4 2010,443,274.25,144.79,15309.471,0,0,0,0,0,0,4,16593,2.88
2011,1,Q1 2011,446,254.14,119.65,15351.444,1,0,0,0,0,0,4,-428978,3.29
2011,2,Q2 2011,396,230.57,284.36,15557.535,0,1,0,0,0,1,4,4049,3.8
2011,3,Q3 2011,481,152.8,165,15647.681,0,0,1,0,0,1,4,-109514,3.63
2011,4,Q4 2011,541,219.33,134.5,15842.267,0,0,0,0,0,0,4,-778126,3.37
2012,1,Q1 2012,838,195.75,224.5,16068.824,1,0,0,0,0,0,4,-1068634,3.6
2012,2,Q2 2012,881,303.5,218,16207.13,0,1,0,0,0,0,4,-192738,3.72
2012,3,Q3 2012,515,221,257.5,16319.54,0,0,1,0,0,0,4,-318978,3.67
2012,4,Q4 2012,434,161.5,149,16420.386,0,0,0,0,0,1,4,96976,3.5
2013,1,Q1 2013,596,208.75,168.5,16629.05,1,0,0,0,0,1,5,-219811,3.57
2013,2,Q2 2013,423,469,150,16699.551,0,1,0,0,0,0,5,106718,3.6
2013,3,Q3 2013,520,272.67,151.5,16911.068,0,0,1,0,0,0,5,40361,3.57
2013,4,Q4 2013,661,251,190,17133.114,0,0,0,0,0,0,5,-1105174,3.29
2014,1,Q1 2014,2152,254.86,196.5,17144.281,1,0,0,0,0,0,5,245678,3.4
2014,2,Q2 2014,2112,235.44,232,17462.703,0,1,0,0,0,1,5,226448,3.68
2014,3,Q3 2014,1278,194.71,157.5,17743.227,0,0,1,0,0,0,5,297132,3.5
2014,4,Q4 2014,1477,352,183.5,17852.54,0,0,0,0,0,0,5,201553,2.88
2015,1,Q1 2015,2509,196.57,178.5,17991.348,1,0,0,0,0,0,4,303638,2.27
2015,2,Q2 2015,4775,172.71,170.5,18193.707,0,1,0,0,0,0,4,624275,2.66
2015,3,Q3 2015,42433,185.5,165,18306.96,0,0,1,0,0,0,3,1098924,2.6
2015,4,Q4 2015,47482,193.63,182.33,18332.079,0,0,0,0,0,0,3,3542267,2.16
2016,1,Q1 2016,46558,191.88,157,18425.306,1,0,0,0,0,1,3,18836,1.89
2016,2,Q2 2016,41656,171.25,193.14,18611.617,0,1,0,0,0,0,3,277899,2.25
2016,3,Q3 2016,35282,160.38,146.59,18775.459,0,0,1,0,0,0,3,492520,2.21
2016,4,Q4 2016,36816,172.67,195.5,18968.041,0,0,0,0,0,1,3,384206,2.23
2017,1,Q1 2017,32319,220.75,204.5,19148.194,1,0,0,0,0,0,3,329892,2.33
2017,2,Q2 2017,43528,229.38,202,19304.506,0,1,0,0,0,0,3,691457,2.39
2017,3,Q3 2017,38327,201.89,203.5,19561.896,0,0,1,0,0,1,3,349281,2.44
2017,4,Q4 2017,44911,178.88,249,19894.75,0,0,0,0,0,0,3,280081,2.52
2018,1,Q1 2018,44861,208,136.5,20155.486,1,0,0,0,0,0,3,132352,2.58
2018,2,Q2 2018,46688,210.14,227.5,20470.197,0,1,0,0,0,0,3,398058,2.85
2018,3,Q3 2018,42861,191.86,152.5,20687.278,0,0,1,0,0,0,3,116472,2.84
2018,4,Q4 2018,39968,196.14,189.5,20819.269,0,0,0,0,0,0,3,382807,2.62
2019,1,Q1 2019,42433,209.57,166,21013.075,1,0,0,0,0,0,3,167005,2.36
2019,2,Q2 2019,47549,229.14,274.5,21272.448,0,1,0,0,0,0,3,472610,2.79
2019,3,Q3 2019,48064,183,206,21531.839,0,0,1,0,0,1,3,261135,2.65
2019,4,Q4 2019,49974,210.86,271.5,21706.532,0,0,0,0,0,0,3,415863,2.59
2020,1,Q1 2020,39477,187.83,229.5,21538.032,1,0,0,1,0,0,3,-1735854,2.41
2020,2,Q2 2020,2445,152.8,92.5,19636.731,0,1,0,1,0,0,3,-1538580,1.93
2020,3,Q3 2020,7361,132.17,126.5,21362.428,0,0,1,1,0,1,3,-1476828,2.18
2020,4,Q4 2020,11291,121.29,91.5,21704.706,0,0,0,1,0,0,3,-1601905,2.15
2021,1,Q1 2021,13550,114.33,94.5,22313.85,1,0,0,1,0,0,3,-151957,2.55
2021,2,Q2 2021,28427,131.17,113.5,23046.934,0,1,0,1,0,0,3,656548,2.97
2021,3,Q3 2021,34998,130.6,183,23550,0,0,1,1,0,1,3,654880,3.16
2021,4,Q4 2021,37017,140.29,133,24349.121,0,0,0,1,0,0,3,-495660,3.33
2022,1,Q1 2022,39742,166,181,24740.48,1,0,0,0,0,0,3,-791402,3.68
2022,2,Q2 2022,51953,201.71,204,25248.476,0,1,0,0,0,0,3,838799,4.49
